timestamp,open,high,low,close,volume,trade_count,vwap
2021-01-04 05:00:00+00:00,375.3,375.45,364.82,368.79,110210840,623063,369.337439
2021-01-04 05:00:00+00:00,375.3,375.45,364.82,368.79,110210840,623063,369.337439
2021-01-05 05:00:00+00:00,368.05,372.5,368.05,371.33,66431029,338926,370.390129
2021-01-06 05:00:00+00:00,369.67,376.98,369.12,373.55,107997675,575343,373.807318
2021-01-07 05:00:00+00:00,376.18,379.9,375.91,379.1,68770412,366621,378.249024
2021-01-08 05:00:00+00:00,380.63,381.49,377.1,381.26,71677208,391943,380.111635
2021-01-11 05:00:00+00:00,377.84,380.58,377.7189,378.69,51176719,331772,379.143534
2021-01-12 05:00:00+00:00,378.84,379.86,376.36,378.77,52547716,319574,378.664569
2021-01-13 05:00:00+00:00,378.65,380.86,377.85,379.79,45510619,285327,379.660169
2021-01-14 05:00:00+00:00,380.63,381.13,378.1,378.46,49989116,277222,379.669014
2021-01-15 05:00:00+00:00,376.71,377.58,373.7,375.7,107559962,427120,376.077331
2021-01-19 05:00:00+00:00,378.24,379.23,376.75,378.65,51233300,295710,378.093542
2021-01-20 05:00:00+00:00,381.1,384.79,380.69,383.89,61836062,295869,382.602706
2021-01-21 05:00:00+00:00,384.5,384.95,383.25,384.24,47956109,248100,384.236085
2021-01-22 05:00:00+00:00,382.24,384.1256,381.835,382.88,52136931,251680,383.200785
2021-01-25 05:00:00+00:00,383.6,384.77,378.46,384.39,70401971,445945,382.761604
2021-01-26 05:00:00+00:00,385.41,385.85,383.54,383.79,42665281,272405,384.407436
2021-01-27 05:00:00+00:00,380.24,380.32,372.01,374.41,123351578,712258,376.573606
2021-01-28 05:00:00+00:00,376.27,381.93,375.89,377.63,94198104,509965,378.416391
2021-01-29 05:00:00+00:00,375.57,376.67,368.27,370.07,126760121,730087,372.205316
2021-02-01 05:00:00+00:00,373.84,377.34,370.376,376.23,75817597,414900,374.490318
2021-02-02 05:00:00+00:00,379.68,383.22,376.3181,381.55,64450662,343861,381.477614
2021-02-03 05:00:00+00:00,382.43,383.7,380.48,381.85,52427090,291486,382.332596
2021-02-04 05:00:00+00:00,383.03,386.24,381.9655,386.19,47142555,266907,384.549188
2021-02-05 05:00:00+00:00,388.27,388.47,386.1444,387.71,48665274,253237,387.419547
2021-02-08 05:00:00+00:00,389.3,390.56,388.35,390.51,38365185,240713,389.298869
2021-02-09 05:00:00+00:00,389.55,390.89,389.17,390.25,35551059,235680,390.292617
2021-02-10 05:00:00+00:00,392.1,392.28,387.5,390.08,59154371,352178,389.945148
2021-02-11 05:00:00+00:00,391.34,391.69,388.1,390.71,42913288,272445,390.166653
2021-02-12 05:00:00+00:00,389.88,392.9,389.77,392.64,50593270,252469,391.603289
2021-02-16 05:00:00+00:00,394.06,394.17,391.53,392.3,50972366,321224,392.877424
2021-02-17 05:00:00+00:00,390.43,392.66,389.33,392.39,52806681,315320,391.379991
2021-02-18 05:00:00+00:00,389.56,391.515,387.74,390.72,59712773,329954,390.106673
2021-02-19 05:00:00+00:00,392.1,392.38,389.55,390.03,83340971,324230,390.750219
2021-02-22 05:00:00+00:00,387.06,389.62,386.74,387.03,67409670,339347,387.967076
2021-02-23 05:00:00+00:00,384.72,388.945,380.2,387.5,107284127,633288,385.145102
2021-02-24 05:00:00+00:00,386.23,392.23,385.27,391.77,72433946,459122,389.486777
2021-02-25 05:00:00+00:00,390.51,391.88,380.7789,382.33,146670499,1093783,385.860968
2021-02-26 05:00:00+00:00,384.44,385.58,378.23,380.36,152701639,1019385,382.238881
2021-03-01 05:00:00+00:00,385.65,390.92,380.572,389.58,105348798,570891,388.233476
2021-03-02 05:00:00+00:00,389.87,390.07,386.0,386.54,79595332,513110,388.267791
2021-03-03 05:00:00+00:00,385.83,386.83,381.31,381.42,119940211,807408,384.01823
2021-03-04 05:00:00+00:00,381.22,384.0,371.88,376.7,183435020,1338750,378.282177
2021-03-05 05:00:00+00:00,380.41,384.76,372.64,383.63,152039624,1163088,379.145999
2021-03-08 05:00:00+00:00,384.69,387.68,381.42,381.72,123144245,893818,384.704845
2021-03-09 05:00:00+00:00,385.88,389.91,381.7299,387.17,113633556,623522,387.280742
2021-03-10 05:00:00+00:00,389.59,391.4,388.1702,389.58,109899410,743868,389.62414
